Respondent ID,Do you know JavaScript?,Do you know HTML?,Do you know CSS?,Do you know SQL?,Do you know Java?,Do you know Bash/Shell?,Do you know Python?,Do you know R?,Do you know C#?,Do you know PHP?,Do you know C++?,Do you know C?,Do you know anything else?,How good are you at JavaScript?,How good are you at HTML?,How good are you at CSS?,How good are you at SQL?,How good are you at Java?,How good are you at Bash/Shell?,How good are you at Python?,How good are you at R?,How good are you at C#?,How good are you at PHP?,How good are you at C++?,How good are you at C?,How good are you at [OTHER]?,In what country do you live?
10746914202,JavaScript,HTML,CSS,SQL,Java,,Python,,,PHP,,,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,,,Intermediate,,,,Indonesia
10746691107,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,C#,,,C,,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Beginner,Intermediate,,,Beginner,,Singapore
10744755054,JavaScript,HTML,CSS,SQL,,,,,,PHP,,,,Expert,Expert,Expert,Expert,,,,,,Expert,,,,United States of America
10742042692,JavaScript,HTML,CSS,SQL,,,Python,,,,C++,C,,Intermediate,Intermediate,Intermediate,Beginner,,,Expert,,,,Expert,Expert,,United States of America
10741963380,JavaScript,HTML,CSS,,,,,,,PHP,,,,Expert,Intermediate,Intermediate,,,,,,,Beginner,,,,United States of America
10740570126,JavaScript,HTML,CSS,SQL,,Bash/Shell,,,C#,PHP,,,Go,Expert,Expert,Expert,Expert,,Intermediate,,,Beginner,Expert,,,Intermediate,Turkey
10740325913,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,PHP,,C,"Rust, TypeScript, Haskell, MIPS Assembly, VB.NET, and Elm",Expert,Expert,Intermediate,Beginner,Expert,Beginner,Intermediate,,Beginner,Intermediate,,Intermediate,Intermediate,New Zealand
10740289951,,HTML,CSS,SQL,Java,Bash/Shell,Python,,,,C++,C,,,Intermediate,Beginner,Intermediate,Expert,Intermediate,Expert,,,,Beginner,Expert,,
10739979498,JavaScript,HTML,CSS,,Java,,Python,,,,C++,C,,Intermediate,Intermediate,Intermediate,,Expert,,Expert,,,,Expert,Expert,,Venezuela (Bolivarian Republic of)
10739812511,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,,,,,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,,,,,Indonesia
10739506486,,,,SQL,,Bash/Shell,Python,,,,,,,,,,Expert,,Beginner,Expert,,,,,,,Malaysia
10739157061,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,,C++,C,,Expert,Expert,Expert,Beginner,Intermediate,Intermediate,Beginner,,Intermediate,,Intermediate,Intermediate,,United States of America
10738697910,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,C#,PHP,C++,C,,Expert,Expert,Expert,Expert,Intermediate,Intermediate,Expert,Intermediate,Expert,Beginner,Expert,Intermediate,,United States of America
10738573018,JavaScript,HTML,CSS,SQL,,Bash/Shell,Python,,,PHP,,,,Beginner,Intermediate,Intermediate,Beginner,,Beginner,Intermediate,,,Intermediate,,,,Bangladesh
10737818119,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,,,,,C++,,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,,,,,Intermediate,,,United States of America
10736087483,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,,,,golang,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Beginner,Intermediate,,Beginner,,,,Beginner,Mexico
10735957875,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,PHP,C++,C,,Intermediate,Intermediate,Intermediate,Expert,Expert,Beginner,Expert,,Intermediate,Expert,Intermediate,Beginner,,Brazil
10734365763,JavaScript,HTML,CSS,,,,,,,,,,,Intermediate,Intermediate,Intermediate,,,,,,,,,,,Vietnam
10734099879,JavaScript,HTML,,,Java,,,R,,PHP,C++,C,,Beginner,Intermediate,,,Expert,,,Beginner,,Intermediate,Intermediate,Intermediate,,Japan
10733870792,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,,C++,C,,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Intermediate,,,,Beginner,Intermediate,,United States of America
10733429356,,,,,Java,,Python,,,,C++,,,,,,,Intermediate,,Expert,,,,Intermediate,,,United States of America
10730881577,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,,C++,C,golang,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Expert,,,,Beginner,Beginner,Beginner,United States of America
10728641002,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,,,,PHP,,,,Intermediate,Expert,Expert,Intermediate,Expert,Beginner,,,,Intermediate,,,,Pakistan
10728515244,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,PHP,C++,C,,Expert,Expert,Expert,Expert,Beginner,Intermediate,Expert,,,Expert,Beginner,Beginner,,Germany
10728370151,JavaScript,HTML,CSS,,,Bash/Shell,,,,,,,,Beginner,Intermediate,Intermediate,,,Beginner,,,,,,,,Taiwan
10728032783,JavaScript,HTML,,SQL,Java,Bash/Shell,,,,,C++,C,,Beginner,,,Intermediate,Expert,Expert,,,,,Expert,Expert,,United States of America
10727852270,JavaScript,,,,Java,,Python,,,,,,Kotlin,Beginner,,,,Intermediate,,Expert,,,,,,Intermediate,Japan
10727812999,JavaScript,HTML,CSS,SQL,Java,,Python,,,,C++,,,Intermediate,Expert,Expert,Intermediate,Beginner,,Beginner,,,,Intermediate,,,United States of America
10725463140,JavaScript,HTML,,SQL,,,,,,PHP,C++,,,Beginner,Beginner,,Expert,,,,,,Intermediate,Intermediate,,,Japan
10723887874,,,,,,,,,,,,,,,,,,,,,,,,,,,
10723739635,,,,,,,,,,,,,,,,,,,,,,,,,,,
10722631520,JavaScript,HTML,CSS,SQL,,,Python,,C#,PHP,,,,Intermediate,Intermediate,Intermediate,Intermediate,,,Intermediate,,Expert,Expert,,,,Colombia
10722262596,JavaScript,HTML,CSS,,Java,,Python,,,,C++,C,Lua,Beginner,Beginner,Beginner,,Intermediate,,Beginner,,,,Intermediate,Intermediate,Beginner,Venezuela (Bolivarian Republic of)
10721274728,JavaScript,HTML,CSS,SQL,,,,,,PHP,C++,,,Beginner,Intermediate,Intermediate,Intermediate,,,,,,Intermediate,Intermediate,,,
10720644265,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,,C++,C,,Beginner,Intermediate,Beginner,Beginner,Beginner,Intermediate,Intermediate,,,,Intermediate,Intermediate,,China
10720404131,JavaScript,HTML,CSS,SQL,,Bash/Shell,,,C#,PHP,C++,C,Lua,Intermediate,Intermediate,Intermediate,Beginner,,Beginner,,,Expert,Beginner,Intermediate,Beginner,Expert,Australia
10718206594,,,,,,,Python,,,,C++,C,CUDA,,,,,,,Intermediate,,,,Intermediate,Intermediate,Intermediate,India
10717813660,JavaScript,,,,,,,,,,,,,Expert,,,,,,,,,,,,,United States of America
10717484223,JavaScript,HTML,CSS,,,,,,,PHP,,,,Expert,Expert,Expert,,,,,,,Expert,,,,United States of America
10717423601,JavaScript,HTML,CSS,,Java,,Python,,,PHP,,,,Intermediate,Expert,Expert,,Beginner,,Beginner,,,Intermediate,,,,Uzbekistan
10716923212,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,PHP,C++,C,,,,,,,,,,,,,,,
10716182134,JavaScript,,,,,,,,,,,,,Expert,,,,,,,,,,,,,United States of America
10715846246,JavaScript,HTML,CSS,,Java,,,,,,,,,Intermediate,Intermediate,Intermediate,,Intermediate,,,,,,,,,Chile
10715311520,JavaScript,HTML,CSS,,,Bash/Shell,,,,PHP,C++,,go,Beginner,Beginner,Beginner,,,Intermediate,,,,Beginner,Beginner,,Beginner,Turkey
10715224664,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,C#,PHP,,,,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Expert,Beginner,Beginner,Beginner,,,,Turkey
10714874479,JavaScript,HTML,CSS,SQL,Java,,Python,,C#,PHP,C++,C,,Expert,Expert,Expert,Intermediate,Intermediate,,Beginner,,Intermediate,Expert,Intermediate,Intermediate,,Indonesia
10714785896,,,,,,,,,C#,,C++,,,,,,,,,,,Intermediate,,Intermediate,,,
10714747504,,,,,Java,,,R,C#,,,C,,,,,,Intermediate,,,Intermediate,Intermediate,,,Intermediate,,Taiwan
10714741439,JavaScript,HTML,CSS,SQL,,Bash/Shell,Python,,,PHP,,C,,Beginner,Intermediate,Intermediate,Intermediate,,Intermediate,Expert,,,Expert,,Intermediate,,Philippines
10714570883,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,,,,,,Expert,Expert,Expert,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,,,,,Bangladesh
10714562381,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,,PHP,,C,Go,Expert,Expert,Expert,Intermediate,Beginner,Beginner,Beginner,Beginner,,Intermediate,,Beginner,Expert,Japan
10714467959,JavaScript,HTML,CSS,SQL,,,Python,,,PHP,,,,Expert,Expert,Expert,Expert,,,Intermediate,,,Expert,,,,Indonesia
10714123090,JavaScript,HTML,CSS,,,Bash/Shell,,,,,,,,Intermediate,Intermediate,Intermediate,,,Beginner,,,,,,,,Egypt
10714083660,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,,C++,,,Beginner,Intermediate,Beginner,,Beginner,Beginner,Intermediate,,Intermediate,,Beginner,,,New Zealand
10713834042,,,,,,,,,,,,,,,,,,,,,,,,,,,
10713675602,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,C#,,C++,C,,Intermediate,Intermediate,Intermediate,Expert,Expert,Intermediate,Expert,Intermediate,Expert,,Intermediate,Intermediate,,Ecuador
10713533555,JavaScript,,,,,Bash/Shell,Python,,,,,C,,Beginner,,,,,Expert,Expert,,,,,Beginner,,Jordan
10713414311,JavaScript,HTML,CSS,,,Bash/Shell,,,,,,,,Expert,Expert,Expert,,,Intermediate,,,,,,,,Brazil
10713238825,,,,,,,,,,,,,,,,,,,,,,,,,,,
10711597679,JavaScript,HTML,CSS,SQL,Java,,Python,,C#,PHP,C++,,,Intermediate,Expert,Expert,Expert,Intermediate,,Beginner,,Intermediate,Beginner,Intermediate,,,Colombia
10711260446,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,,C++,C,,Beginner,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,,Beginner,Beginner,,United States of America
10711116478,JavaScript,HTML,CSS,SQL,Java,,Python,,C#,,,C,,Intermediate,Intermediate,Intermediate,Beginner,Beginner,,Intermediate,,Expert,,,Beginner,,United States of America
10710961243,JavaScript,,CSS,,Java,,,,,,C++,,Angular,Expert,,Expert,,Expert,,,,,,Intermediate,,Expert,United States of America
10710820068,JavaScript,HTML,CSS,SQL,,Bash/Shell,Python,,C#,PHP,C++,C,,Beginner,Expert,Intermediate,Intermediate,,Intermediate,Intermediate,,Expert,Expert,Expert,Expert,,Turkey
10710574631,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,,,C#,PHP,C++,,,Beginner,Intermediate,Intermediate,Intermediate,Expert,Intermediate,,,Intermediate,Beginner,Intermediate,,,United States of America
10710495821,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,,PHP,C++,C,LabVIEW,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Intermediate,Beginner,,Beginner,Intermediate,Intermediate,Intermediate,United States of America
10709578614,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,C#,PHP,C++,C,,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Japan
10709511535,,,,SQL,,,Python,,C#,,,,,,,,Intermediate,,,Intermediate,,Intermediate,,,,,Taiwan
10709137811,JavaScript,HTML,CSS,,Java,Bash/Shell,Python,,,,C++,C,,Beginner,Beginner,Beginner,,Intermediate,Beginner,Intermediate,,,,Expert,Expert,,Taiwan
10708682934,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,PHP,,,,Expert,Expert,Expert,Expert,Expert,Intermediate,Beginner,,Beginner,Beginner,,,,United States of America
10708630743,JavaScript,,,,Java,,,,,,,,,Intermediate,,,,Expert,,,,,,,,,
10708254008,JavaScript,HTML,CSS,SQL,,Bash/Shell,,,,PHP,,,,Beginner,Beginner,Beginner,Intermediate,,Beginner,,,,Intermediate,,,,Turkey
10708221907,,,,,,,,,,,,,,,,,,,,,,,,,,,
10708096578,JavaScript,HTML,CSS,SQL,Java,,,,C#,,C++,C,,Beginner,Intermediate,Intermediate,Intermediate,Expert,,,,Expert,,Intermediate,Intermediate,,India
10707831667,JavaScript,HTML,CSS,,,Bash/Shell,Python,,,PHP,,,,Intermediate,Intermediate,Intermediate,,,Beginner,Beginner,,,Beginner,,,,China
10707806030,JavaScript,HTML,CSS,,Java,,,,,,,C,,Intermediate,Intermediate,Intermediate,,Intermediate,,,,,,,Intermediate,,
10707744538,,,,SQL,Java,Bash/Shell,Python,,,,C++,C,,,,,Beginner,Beginner,Intermediate,Intermediate,,,,Intermediate,Intermediate,,United States of America
10707681820,,,,SQL,Java,Bash/Shell,Python,,,,C++,C,,,,,Beginner,Beginner,Intermediate,Intermediate,,,,Intermediate,Intermediate,,United States of America
10707457087,JavaScript,HTML,CSS,,,,Python,,,,,,Ruby,Intermediate,Intermediate,Intermediate,,,,Intermediate,,,,,,Expert,China
10707318395,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,,,C++,C,,Expert,Expert,Expert,Expert,Expert,Expert,Expert,Beginner,,,Expert,Intermediate,,United States of America
10707278265,JavaScript,HTML,CSS,,Java,,,,,,,,,Beginner,Beginner,Beginner,,Beginner,,,,,,,,,Vietnam
10706866076,,HTML,CSS,,,Bash/Shell,Python,,C#,,C++,,,,Beginner,Beginner,,,Beginner,Intermediate,,Intermediate,,Expert,,,Malaysia
10706819370,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,,,C,,Beginner,Expert,Intermediate,Intermediate,Expert,Beginner,Intermediate,,,,,Intermediate,,
10706466464,JavaScript,HTML,CSS,,,,,,,PHP,,,,Beginner,Expert,Expert,,,,,,,Expert,,,,United States of America
10705966103,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,,,,,C++,C,,Expert,Expert,Expert,Expert,Expert,Intermediate,,,,,Expert,Expert,,Egypt
10705331179,,,,,,,Python,,,PHP,,,,,,,,,,Intermediate,,,Intermediate,,,,Vietnam
10705153061,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,,,C++,C,"Scala, Go",Beginner,Intermediate,Intermediate,Expert,Expert,Intermediate,Expert,Beginner,,,Expert,Expert,Intermediate,Turkey
10704787910,JavaScript,HTML,CSS,,,Bash/Shell,,,,PHP,,,,Intermediate,Intermediate,Intermediate,,,Intermediate,,,,Expert,,,,Turkey
10704593258,,,,,Java,,Python,,,,C++,C,,,,,,Intermediate,,Intermediate,,,,Intermediate,Expert,,China
10704491684,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,,C++,,,Intermediate,Expert,Intermediate,Expert,Expert,Beginner,Intermediate,,Expert,,Beginner,,,Mexico
10704365994,,,,,Java,,Python,,,,,,,,,,,Intermediate,,Intermediate,,,,,,,Brazil
10704075880,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,PHP,C++,C,"Go, Visual Basic",Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Expert,,Intermediate,Beginner,Intermediate,Intermediate,Beginner,United States of America
10703846880,JavaScript,HTML,CSS,SQL,,Bash/Shell,Python,,,,,,,Beginner,Beginner,Beginner,Intermediate,,Intermediate,Expert,,,,,,,United States of America
10703558923,JavaScript,HTML,CSS,SQL,Java,,Python,,C#,PHP,C++,,,Intermediate,Expert,Expert,Expert,Expert,,Expert,,Expert,Expert,Expert,,,Mexico
10703408448,,,,,,Bash/Shell,Python,,,,,,,,,,,,Beginner,Intermediate,,,,,,,United States of America
10703005160,JavaScript,HTML,CSS,SQL,,Bash/Shell,Python,,,PHP,,,,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,,,Intermediate,,,,United States of America
10702739467,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,PHP,,,,Expert,Expert,Expert,Expert,Expert,Intermediate,Expert,,Intermediate,Expert,,,,United States of America
10702318386,JavaScript,HTML,CSS,SQL,,,Python,,,,,,,Intermediate,Intermediate,Intermediate,Intermediate,,,Intermediate,,,,,,,China
10702126970,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,PHP,C++,C,,Expert,Expert,Intermediate,Expert,Intermediate,Beginner,Beginner,,Intermediate,Expert,Beginner,Beginner,,Romania
10701993842,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,,PHP,C++,C,,Beginner,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Expert,Beginner,,Beginner,Expert,Expert,,Singapore
10701992785,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,,PHP,C++,C,,Expert,Expert,Expert,Expert,Expert,Expert,Expert,Beginner,,Intermediate,Beginner,Intermediate,,United States of America
10701976468,,,,,Java,Bash/Shell,Python,,,,,C,,,,,,Intermediate,Beginner,Intermediate,,,,,Intermediate,,Republic of Korea
10701831659,JavaScript,HTML,CSS,SQL,Java,,Python,,,PHP,C++,,,Beginner,Intermediate,Intermediate,Beginner,Beginner,,Beginner,,,Beginner,Intermediate,,,
10701813998,,,,,,,Python,,,,,C,"Julia, POV-Ray, Wolfram",,,,,,,Intermediate,,,,,Intermediate,Intermediate,Japan
10701799017,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,C#,PHP,C++,C,,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Intermediate,Beginner,Beginner,Beginner,Intermediate,Beginner,,Taiwan
10701755994,JavaScript,HTML,CSS,,,,,,,,,,,Intermediate,Expert,Expert,,,,,,,,,,,Pakistan
10701569145,,,,,,,,,,,,,,,,,,,,,,,,,,,
10701404071,JavaScript,HTML,CSS,SQL,Java,,,,,PHP,,,,Expert,Expert,Expert,Expert,Intermediate,,,,,Expert,,,,Vietnam
10701385468,,HTML,CSS,SQL,,Bash/Shell,Python,,,PHP,C++,C,,,Intermediate,Beginner,Expert,,Intermediate,Intermediate,,,Expert,Intermediate,Expert,,Bangladesh
10701343013,JavaScript,HTML,CSS,SQL,Java,,,,C#,,,,,Beginner,Beginner,Beginner,Beginner,Beginner,,,,Beginner,,,,,Peru
10701341536,JavaScript,HTML,,SQL,Java,Bash/Shell,Python,,,PHP,,,,Intermediate,Expert,,Expert,Intermediate,Beginner,Expert,,,Expert,,,,Nepal
10701136427,,,,,,,,,,,,,,,,,,,,,,,,,,,
10701069539,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,,C++,C,,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Intermediate,,,,Expert,Intermediate,,United States of America
10700999927,JavaScript,HTML,,,Java,,Python,,C#,,C++,,,Beginner,Intermediate,,,Beginner,,Intermediate,,Beginner,,Beginner,,,United States of America
10700950879,JavaScript,HTML,CSS,SQL,,Bash/Shell,,,C#,,,,,Expert,Expert,Expert,Intermediate,,Intermediate,,,Expert,,,,,United States of America
10700941293,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,PHP,C++,,,Beginner,Intermediate,Beginner,Intermediate,,Beginner,Intermediate,,,Beginner,Beginner,,,Ghana
10700775125,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,PHP,,,,Expert,Expert,Expert,Intermediate,Intermediate,Beginner,Beginner,,,Intermediate,,,,Brazil
10700764374,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,PHP,C++,C,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Beginner,,Beginner,Beginner,Beginner,Beginner,,United States of America
10700355246,,,,,,,,,,,,,,,,,,,,,,,,,,,
10700243117,,,,SQL,,Bash/Shell,Python,R,,,,,,,,,Intermediate,,Beginner,Beginner,Expert,,,,,,Switzerland
10699774544,,,,,,,Python,,,,,,,,,,,,,Intermediate,,,,,,,China
10699393020,,,,,Java,Bash/Shell,Python,R,,,C++,C,,,,,,Intermediate,Beginner,Intermediate,Beginner,,,Intermediate,Intermediate,,France
10699255170,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,,,,PHP,,,Ruby,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,,,,Intermediate,,,Beginner,Taiwan
10699116865,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,,C++,,,Expert,Intermediate,Intermediate,Beginner,Expert,Intermediate,Beginner,,,,Intermediate,,,United States of America
10699104645,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,,,C,,Beginner,Beginner,Beginner,Intermediate,Intermediate,Beginner,Intermediate,,Intermediate,,,Beginner,,United States of America
10699096468,JavaScript,HTML,CSS,SQL,,Bash/Shell,Python,,,PHP,,,,Beginner,Expert,Expert,Intermediate,,Intermediate,Beginner,,,Intermediate,,,,United States of America
10699017190,,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,,C++,C,,,Beginner,Beginner,Intermediate,Expert,Intermediate,Expert,,Intermediate,,Intermediate,Intermediate,,United States of America
10698990399,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,PHP,C++,C,,Beginner,Beginner,,Beginner,Intermediate,Beginner,Intermediate,,,Beginner,Beginner,Intermediate,,United States of America
10698969133,,HTML,CSS,SQL,,Bash/Shell,Python,R,,,,,,,Beginner,Beginner,Intermediate,,Intermediate,Intermediate,Intermediate,,,,,,United States of America
10698958820,,,,,,,Python,,C#,,C++,C,,,,,,,,Beginner,,Beginner,,Beginner,Beginner,,Taiwan
10698937969,,,,SQL,,Bash/Shell,Python,,C#,,,,,,,,Intermediate,,Intermediate,Expert,,Expert,,,,,Israel
10698932817,JavaScript,HTML,CSS,,Java,Bash/Shell,,,C#,,C++,,"Ruby д»«, MatLab, RoboPro",Expert,Expert,Expert,,Intermediate,Expert,,,Intermediate,,Beginner,,Intermediate,United States of America
10698922896,JavaScript,HTML,CSS,,Java,Bash/Shell,Python,,C#,,C++,C,Racket/Scheme,Intermediate,Intermediate,Beginner,,Intermediate,Beginner,Intermediate,,Beginner,,Beginner,Beginner,Intermediate,United States of America
10698894771,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,,,,C,,Expert,Intermediate,Intermediate,Intermediate,Expert,Intermediate,Expert,Intermediate,,,,Intermediate,,United States of America
10698826454,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,C#,PHP,C++,C,,Expert,Expert,Expert,Expert,Expert,Expert,Expert,Beginner,Expert,Expert,Expert,Expert,,Canada
10698693473,JavaScript,HTML,CSS,SQL,Java,,Python,R,,PHP,C++,C,,Intermediate,Intermediate,Intermediate,Beginner,Expert,,Intermediate,Beginner,,Beginner,Expert,Expert,,United States of America
10698642639,JavaScript,HTML,CSS,,Java,Bash/Shell,Python,,C#,,C++,,,Expert,Intermediate,Intermediate,,Expert,Intermediate,Intermediate,,Intermediate,,Intermediate,,,United States of America
10698540840,JavaScript,HTML,CSS,SQL,Java,,Python,R,,,,,,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,,,,,,United States of America
10698489317,,,,,,,,,,,,,,,,,,,,,,,,,,,
10698400638,JavaScript,HTML,CSS,SQL,Java,,Python,,,PHP,,,Ruby,Expert,Intermediate,Intermediate,Intermediate,Beginner,,Intermediate,,,Beginner,,,Expert,United States of America
10698148657,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,PHP,,C,"Go, Ruby, Scala",Expert,Expert,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,,,Intermediate,,Beginner,Intermediate,United States of America
10698144518,JavaScript,HTML,CSS,SQL,,Bash/Shell,Python,R,,PHP,,C,,Intermediate,Expert,Expert,Expert,,Intermediate,Expert,Intermediate,,Beginner,,Intermediate,,United States of America
10698086320,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,,PHP,C++,C,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,,Beginner,Intermediate,Beginner,,United States of America
10697969318,JavaScript,,,,Java,,Python,,,PHP,,,,Intermediate,,,,Intermediate,,Intermediate,,,Intermediate,,,,India
10697949043,JavaScript,,,SQL,,,Python,,,,,,,Intermediate,,,Intermediate,,,Beginner,,,,,,,Saudi Arabia
10697932603,JavaScript,HTML,CSS,SQL,,,,,,PHP,,,,Expert,Expert,Expert,Intermediate,,,,,,Expert,,,,United States of America
10697854784,,,,,,,,,,,,,,,,,,,,,,,,,,,
10697837311,,,,,Java,,Python,,,,,C,,,,,,Intermediate,,Intermediate,,,,,Beginner,,United States of America
10697684367,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,C#,PHP,C++,C,,Intermediate,Intermediate,Intermediate,Beginner,Expert,Beginner,Intermediate,Beginner,Intermediate,Beginner,Beginner,Beginner,,United States of America
